RECTYPE,,Record type
2002,,2002
2003,,2003
2004,,2004
2005,,2005
2006,,2006
2007,,2007
2008,,2008
2009,,2009
2010,,2010
2011,,2011
2012,,2012
2013,,2013
2014,,2014
2015,,2015
2016,,2016
2017,,2017
2018,,2018
996,,Not reported
,,
YRSUSA1,,Years in the United States
0,,N/A or less than one year
,,
YRSUSA2,,"Years in the United States, intervalled"
0,,N/A
1,,0-5 years
2,,6-10 years
3,,11-15 years
4,,16-20 years
5,,21+ years
9,,Missing
,,
LANGUAGE,,Language spoken [general version]
0,,N/A or blank
1,,English
2,,German
3,,"Yiddish, Jewish"
4,,Dutch
5,,Swedish
6,,Danish
7,,Norwegian
8,,Icelandic
9,,Scandinavian
10,,Italian
11,,French
12,,Spanish
13,,Portuguese
14,,Rumanian
15,,Celtic
16,,Greek
17,,Albanian
18,,Russian
19,,"Ukrainian, Ruthenian, Little Russian"
20,,Czech
21,,Polish
22,,Slovak
23,,"Serbo-Croatian, Yugoslavian, Slavonian"
24,,Slovene
25,,Lithuanian
26,,Other Balto-Slavic
27,,Slavic unknown
28,,Armenian
29,,"Persian, Iranian, Farsi"
30,,Other Persian dialects
31,,Hindi and related
32,,"Romany, Gypsy"
33,,Finnish
34,,"Magyar, Hungarian"
35,,Uralic
36,,Turkish
37,,Other Altaic
38,,"Caucasian, Georgian, Avar"
39,,Basque
40,,Dravidian
41,,Kurukh
42,,Burushaski
43,,Chinese
44,,Tibetan
45,,"Burmese, Lisu, Lolo"
46,,Kachin
47,,"Thai, Siamese, Lao"
48,,Japanese
49,,Korean
50,,Vietnamese
51,,Other East/Southeast Asian
52,,Indonesian
53,,Other Malayan
54,,"Filipino, Tagalog"
55,,"Micronesian, Polynesian"
56,,Hawaiian
57,,Arabic
58,,Near East Arabic dialect
59,,"Hebrew, Israeli"
60,,"Amharic, Ethiopian, etc."
61,,Hamitic
62,,Other Afro-Asiatic languages
63,,Sub-Saharan Africa
64,,"African, n.s."
70,,American Indian (all)
71,,"Aleut, Eskimo"
72,,Algonquian
73,,"Salish, Flathead"
74,,Athapascan
75,,Navajo
76,,Penutian-Sahaptin
77,,Other Penutian
78,,Zuni
79,,Yuman
80,,Other Hokan languages
81,,Siouan languages
82,,Muskogean
83,,Keres
84,,Iroquoian
85,,Caddoan
86,,Shoshonean/Hopi
87,,"Pima, Papago"
88,,"Yaqui and other Sonoran, nec"
89,,"Aztecan, Nahuatl, Uto-Aztecan"
90,,Tanoan languages
91,,Other Indian languages
92,,Mayan languages
93,,"American Indian, n.s."
94,,Native
95,,No language
96,,Other or not reported
,,
LANGUAGED,,Language spoken [detailed version]
0,,N/A or blank
100,,English
110,,Jamaican Creole
120,,"Krio, Pidgin Krio"
130,,Hawaiian Pidgin
140,,Pidgin
150,,"Gullah, Geechee"
160,,Saramacca
170,,Other English-based Creole languages
200,,German
210,,Austrian
220,,Swiss
230,,Luxembourgian
240,,Pennsylvania Dutch
300,,"Yiddish, Jewish"
310,,Jewish
320,,Yiddish
400,,Dutch
410,,"Dutch, Flemish, Belgian"
420,,Afrikaans
430,,Frisian
440,,"Dutch, Afrikaans, Frisian"
450,,"Belgian, Flemish"
460,,Belgian
470,,Flemish
500,,Swedish
600,,Danish
700,,Norwegian
800,,Icelandic
810,,Faroese
900,,Scandinavian
1000,,Italian
1010,,"Rhaeto-Romanic, Ladin"
1020,,Friulian
1030,,Romansh
1100,,French
1110,,"French, Walloon"
1120,,Provencal
1130,,Patois
1140,,French or Haitian Creole
1150,,Cajun
1200,,Spanish
1210,,"Catalonian, Valencian"
1220,,"Ladino, Sefaradit, Spanol"
1230,,Pachuco
1250,,Mexican
1300,,Portuguese
1310,,Papia Mentae
1320,,Cape Verdean Creole
1400,,Rumanian
1500,,Celtic
1510,,"Welsh, Breton, Cornish"
1520,,Welsh
1530,,Breton
1540,,"Irish Gaelic, Gaelic"
1550,,Gaelic
1560,,Irish
1570,,Scottish Gaelic
1580,,Scotch
1590,,"Manx, Manx Gaelic"
1600,,Greek
1700,,Albanian
1800,,Russian
1810,,"Russian, Great Russian"
1811,,Great Russian
1820,,"Bielo-, White Russian"
1900,,"Ukrainian, Ruthenian, Little Russian"
1910,,Ruthenian
1920,,Little Russian
1930,,Ukrainian
2000,,Czech
2010,,Bohemian
2020,,Moravian
2100,,Polish
2110,,"Kashubian, Slovincian"
2200,,Slovak
2300,,"Serbo-Croatian, Yugoslavian, Slavonian"
2310,,Croatian
2320,,Serbian
2321,,Bosnian
2330,,"Dalmatian, Montenegrin"
2331,,Dalmatian
2332,,Montenegrin
2400,,Slovene
2500,,Lithuanian
2510,,"Lettish, Latvian"
2600,,Other Balto-Slavic
2610,,Bulgarian
2620,,"Lusatian, Sorbian, Wendish"
2621,,Wendish
2630,,Macedonian
2700,,Slavic unknown
2800,,Armenian
2900,,"Persian, Iranian, Farsi"
2910,,Persian
2920,,Dari
,,Other Persian dialects:
3000,,Other Persian dialects
3010,,"Pashto, Afghan"
3020,,Kurdish
3030,,Balochi
3040,,Tadzhik
3050,,Ossete
3100,,Hindi and related
3101,,"Hindi, Hindustani, Indic, Jaipuri, Pali, Urdu"
3102,,Hindi
3103,,Urdu
3104,,Other Indo-Iranian languages
,,Other Indo-Aryan:
3110,,Other Indo-Aryan
3111,,Sanskrit
3112,,Bengali
3113,,Panjabi
3114,,Marathi
3115,,Gujarathi
3116,,Bihari
3117,,Rajasthani
3118,,Oriya
3119,,Assamese
3120,,Kashmiri
3121,,Sindhi
3122,,Maldivian
3123,,Sinhalese
3130,,Kannada
3140,,India nec
3150,,Pakistan nec
3190,,Other Indo-European languages
3200,,"Romany, Gypsy"
3210,,Gypsy
3300,,Finnish
3400,,"Magyar, Hungarian"
3401,,Magyar
3402,,Hungarian
3500,,Uralic
3510,,"Estonian, Ingrian, Livonian, Vepsian,  Votic"
3511,,Estonian
3520,,"Lapp, Inari, Kola, Lule, Pite, Ruija, Skolt, Ume"
3521,,Lappish
3530,,Other Uralic
3600,,Turkish
3700,,Other Altaic
3701,,Chuvash
3702,,Karakalpak
3703,,Kazakh
3704,,Kirghiz
3705,,"Karachay, Tatar, Balkar, Bashkir, Kumyk"
3706,,"Uzbek, Uighur"
3707,,Azerbaijani
3708,,Turkmen
3709,,Yakut
3710,,Mongolian
3711,,Tungus
3800,,"Caucasian, Georgian, Avar"
3810,,Georgian
3900,,Basque
4000,,Dravidian
4001,,Brahui
4002,,Gondi
4003,,Telugu
4004,,Malayalam
4005,,Tamil
4010,,Bhili
4011,,Nepali
4100,,Kurukh
4110,,Munda
4200,,Burushaski
4300,,Chinese
4301,,"Chinese, Cantonese, Min, Yueh"
4302,,Cantonese
4303,,Mandarin
,,Other Chinese
4310,,Other Chinese
4311,,"Hakka, Fukien, Kechia"
4312,,"Kan, Nan Chang"
4313,,"Hsiang, Chansa, Hunan, Iyan"
4314,,"Fuchow, Min Pei"
4315,,Wu
4400,,Tibetan
4410,,"Miao-Yao, Mien"
4420,,"Miao, Hmong"
4430,,Iu Mien
4500,,"Burmese, Lisu, Lolo"
4510,,Karen
4520,,Chin languages
4600,,Kachin
4700,,"Thai, Siamese, Lao"
4710,,Thai
4720,,Laotian
4800,,Japanese
4900,,Korean
5000,,Vietnamese
,,Other East/Southeast Asian:
5100,,Other East/Southeast Asian
5110,,Ainu
5120,,"Mon-Khmer, Cambodian"
5130,,"Siberian, n.e.c."
5140,,Yukagir
5150,,Muong
5200,,Indonesian
5210,,Buginese
5220,,Moluccan
5230,,Achinese
5240,,Balinese
5250,,Cham
5260,,Madurese
5270,,Malay
5280,,Minangkabau
5290,,Other Asian languages
,,Other Malayan:
5300,,Other Malayan
5310,,"Formosan, Taiwanese"
5320,,Javanese
5330,,Malagasy
5340,,Sundanese
5400,,"Filipino, Tagalog"
5410,,Bisayan
5420,,Sebuano
5430,,Pangasinan
5440,,"Llocano, Hocano"
5450,,Bikol
5460,,Pampangan
5470,,Gorontalo
5480,,Palau
,,"Miconesian, Polynesian"
5500,,"Micronesian, Polynesian"
5501,,Micronesian
5502,,Carolinian
5503,,"Chamorro, Guamanian"
5504,,Gilbertese
5505,,Kusaiean
5506,,Marshallese
5507,,Mokilese
5508,,Mortlockese
5509,,Nauruan
5510,,Ponapean
5511,,Trukese
5512,,"Ulithean, Fais"
5513,,Woleai-Ulithi
5514,,Yapese
5520,,Melanesian
5521,,Polynesian
5522,,Samoan
5523,,Tongan
5524,,Niuean
5525,,Tokelauan
5526,,Fijian
5527,,Marquesan
5528,,Rarotongan
5529,,Maori
5530,,"Nukuoro, Kapingarangan"
5590,,Other Pacific Island languages
5600,,Hawaiian
5700,,Arabic
5710,,"Algerian, Moroccan, Tunisian"
5720,,Egyptian
5730,,Iraqi
5740,,Libyan
5750,,Maltese
5800,,Near East Arabic dialect
5810,,"Syriac, Aramaic, Chaldean"
5820,,Syrian
5900,,"Hebrew, Israeli"
6000,,"Amharic, Ethiopian, etc."
,,Hamitic
6100,,Hamitic
6110,,Berber
6120,,"Chadic, Hamitic, Hausa"
6130,,"Cushite, Beja, Somali"
6200,,Other Afro-Asiatic languages
,,Sub-Saharan Africa:
6300,,Nilotic
6301,,Nilo-Hamitic
6302,,Nubian
6303,,Saharan
6304,,"Nilo-Saharan, Fur, Songhai"
6305,,Khoisan
6306,,Sudanic
6307,,Bantu (many subheads)
6308,,Swahili
6309,,Mande
6310,,Fulani
6311,,Gur
6312,,Kru
6313,,"Efik, Ibibio, Tiv"
6314,,"Mbum, Gbaya, Sango, Zande"
,,"Sub-Saharan Africa (1960, 1970 only):"
6320,,Eastern Sudanic and Khoisan
6321,,Niger-Congo regions (many subheads)
6322,,"Congo, Kongo, Luba, Ruanda, Rundi, Santali, Swahili"
6390,,Other specified African languages
6400,,"African, n.s."
7000,,American Indian (all)
7100,,"Aleut, Eskimo"
7110,,Aleut
7120,,Pacific Gulf Yupik
7130,,Eskimo
7140,,"Inupik, Innuit"
7150,,St. Lawrence Isl. Yupik
7160,,Yupik
7200,,Algonquian
7201,,Arapaho
7202,,"Atsina, Gros Ventre"
7203,,Blackfoot
7204,,Cheyenne
7205,,Cree
7206,,"Delaware, Lenni-Lenape"
7207,,"Fox, Sac"
7208,,Kickapoo
7209,,Menomini
7210,,"Metis, French Cree"
7211,,Miami
7212,,Micmac
7213,,"Ojibwa, Chippewa"
7214,,Ottawa
7215,,"Passamaquoddy, Malecite"
7216,,Penobscot
7217,,Abnaki
7218,,Potawatomi
7219,,Shawnee
7300,,"Salish, Flathead"
7301,,Lower Chehalis
7302,,"Upper Chehalis, Chelalis, Satsop"
7303,,Clallam
7304,,"Coeur dAlene, Skitsamish"
7305,,"Columbia, Chelan, Wenatchee"
7306,,Cowlitz
7307,,Nootsack
7308,,Okanogan
7309,,Puget Sound Salish
7310,,"Quinault, Queets"
7311,,Tillamook
7312,,Twana
7313,,Kalispel
7314,,Spokane
7400,,Athapascan
7401,,Ahtena
7402,,Han
7403,,Ingalit
7404,,Koyukon
7405,,Kuchin
7406,,Upper Kuskokwim
7407,,Tanaina
7408,,"Tanana, Minto"
7409,,Tanacross
7410,,"Upper Tanana, Nabesena, Tetlin"
7411,,Tutchone
7412,,"Chasta Costa, Chetco, Coquille, Smith River Athapascan"
7413,,Hupa
7420,,Apache
7421,,"Jicarilla, Lipan"
7422,,"Chiricahua, Mescalero"
7423,,"San Carlos, Cibecue, White Mountain"
7424,,Kiowa-Apache
7430,,Kiowa
7440,,Eyak
7450,,"Other Athapascan-Eyak, Cahto, Mattole, Wailaki"
7490,,Other Algonquin languages
7500,,Navajo
,,Penutian-Sahaptin
7600,,Penutian-Sahaptin
7610,,"Klamath, Modoc"
7620,,Nez Perce
7630,,"Sahaptian, Celilo, Klikitat, Palouse, Tenino, Umatilla, Warm"
,,Other Penutian:
7700,,"Mountain Maidu, Maidu"
7701,,"Northwest Maidu, Concow"
7702,,"Southern Maidu, Nisenan"
7703,,"Coast Miwok, Bodega, Marin"
7704,,Plains Miwok
7705,,"Sierra Miwok, Miwok"
7706,,"Nomlaki, Tehama"
7707,,"Patwin, Colouse, Suisun"
7708,,Wintun
7709,,Foothill North Yokuts
7710,,Tachi
7711,,"Santiam, Calapooya, Wapatu"
7712,,"Siuslaw, Coos, Lower Umpqua"
7713,,Tsimshian
7714,,"Upper Chinook, Clackamas, Multnomah, Wasco, Wishram"
7715,,Chinook Jargon
7800,,Zuni
,,Hokan languages:
7900,,Yuman
7910,,Upriver Yuman
7920,,Cocomaricopa
7930,,Mohave
7940,,Diegueno
7950,,Delta River Yuman
7960,,Upland Yuman
7970,,Havasupai
7980,,Walapai
7990,,Yavapai
8000,,Achumawi
8010,,Atsugewi
8020,,Karok
8030,,Pomo
8040,,Shastan
8050,,Washo
8060,,Chumash
,,Siouan languages:
8100,,Siouan languages
8101,,"Crow, Absaroke"
8102,,Hidatsa
8103,,Mandan
8104,,"Dakota, Lakota, Nakota, Sioux"
8105,,Chiwere
8106,,Winnebago
8107,,"Kansa, Kaw"
8108,,Omaha
8109,,Osage
8110,,Ponca
8111,,"Quapaw, Arkansas"
8120,,Iowa
8200,,Muskogean
8210,,Alabama
8220,,"Choctaw, Chickasaw"
8230,,Mikasuki
8240,,"Hichita, Apalachicola"
8250,,Koasati
8260,,"Muskogee, Creek, Seminole"
8300,,Keres
8400,,Iroquoian
8410,,Mohawk
8420,,Oneida
8430,,Onondaga
8440,,Cayuga
8450,,Seneca
8460,,Tuscarora
8470,,"Wyandot, Huron"
8480,,Cherokee
8500,,Caddoan
8510,,Arikara
8520,,Pawnee
8530,,Wichita
,,Uto-Aztecan languages:
,,Shoshonean/Hopi:
8600,,Shoshonean/Hopi
8601,,Comanche
8602,,"Mono, Owens Valley Paiute"
8603,,Paiute
8604,,"Northern Paiute, Bannock, Num, Snake"
8605,,Southern Paiute
8606,,Chemehuevi
8607,,Kawaiisu
8608,,Ute
8609,,Shoshoni
8610,,Panamint
8620,,Hopi
8630,,Cahuilla
8631,,Cupeno
8632,,Luiseno
8633,,Serrano
8640,,Tubatulabal
,,Sonoran languages:
8700,,"Pima, Papago"
8800,,Yaqui
8810,,"Sonoran n.e.c., Cahita, Guasave, Huichole, Nayit, Tarahumar"
,,"Sonoran, n.e.c.:"
8820,,Tarahumara
,,Other Uto-Aztecan:
8900,,"Aztecan, Nahuatl, Uto-Aztecan"
8910,,"Aztecan, Mexicano, Nahua"
,,Tanoan languages:
9000,,Tanoan languages
9010,,"Picuris, Northern Tiwa, Taos"
9020,,"Tiwa, Isleta"
9030,,Sandia
9040,,"Tewa, Hano, Hopi-Tewa, San Ildefonso, San Juan, Santa Clara"
9050,,Towa
,,Other Indian languages:
9100,,Wiyot
9101,,Yurok
9110,,Kwakiutl
9111,,Nootka
9112,,Makah
9120,,Kutenai
9130,,Haida
9131,,"Tlingit, Chilkat, Sitka, Tongass, Yakutat"
9140,,Tonkawa
9150,,Yuchi
9160,,Chetemacha
9170,,Yuki
9171,,Wappo
9200,,Mayan languages
9210,,Misumalpan
9211,,Cakchiquel
9212,,Mam
9213,,Maya
9214,,Quekchi
9215,,Quiche
9220,,Tarascan
,,Mapuche
9230,,Mapuche
9231,,Araucanian
,,Oto-Manguen
9240,,Oto-Manguen
9241,,Mixtec
9242,,Zapotec
9250,,Quechua
9260,,Aymara
,,Arawakian
9270,,Arawakian
9271,,Island Caribs
,,Chibchan
9280,,Chibchan
9281,,Cuna
9282,,Guaymi
,,Tupi-Guarani
9290,,Tupi-Guarani
9291,,Tupi
9292,,Guarani
9300,,"American Indian, n.s."
9400,,Native
9410,,Other specified American Indian languages
9420,,South/Central American Indian
9500,,No language
9600,,Other or not reported
9601,,Other n.e.c.
9602,,Other n.s.
9999,,
,,
SPEAKENG,,Speaks English
0,,N/A (Blank)
1,,Does not speak English
2,,"Yes, speaks English..."
3,,"Yes, speaks only English"
4,,"Yes, speaks very well"
5,,"Yes, speaks well"
6,,"Yes, but not well"
7,,Unknown
8,,Illegible
,,
TRIBE,,Tribe [general version]
0,,Not applicable or blank
1001,,Alaskan Indian
1002,,Alaska Native
1003,,Alaskan Athabaskan
1004,,Aleut
1005,,Eskimo
1006,,Tlingit-Haida
1007,,Tshimshian
1008,,"Alaska Native, other or unknown"
2001,,Abenaki
2002,,Algonquian
2003,,Apache
2004,,Arapaho
2005,,Arikara
2006,,Assiniboine
2007,,Bannock
2008,,Blackfoot
2009,,Brotherton
2010,,Caddo
2011,,Cahuilla
2012,,California tribes
2013,,Canadian Indian
2014,,Catawba
2015,,Cayuse
2016,,Chehalis
2017,,Chemakuan
2018,,Chemehuevi
2019,,Cherokee
2020,,Cheyenne
2021,,Chickasaw
2022,,Chinook
2023,,Chippewa
2024,,Chitimacha
2025,,Choctaw
2026,,Chumash
2027,,Coeur D'Alene
2028,,Colville
2029,,Comanche
2030,,Coos
2031,,Coquilles
2032,,Coushatta
2033,,Cowlitz
2034,,Cree
2035,,Creek
2036,,Croatan
2037,,Crow
2038,,Delaware
2039,,Diegueno
2040,,Eastern tribes
2041,,Grand Ronde
2042,,Gros Ventres
2043,,Hawaiian
2044,,Hoopa
2046,,Iowa
2047,,Iroquois
2048,,Kalispel
2049,,Karok/Karuk
2050,,Kaw
2051,,Kickapoo
2052,,Kiowa
2053,,Klallam
2054,,Klamath
2055,,Konkow
2056,,Kootenai
2057,,Latin American
2058,,Long Island - Matinecock
2059,,Luiseno
2060,,Lumbee
2061,,Lummi
2062,,Makah
2063,,Mailseet/Maliseet
2064,,Mandan
2065,,Menominee
2066,,Miami
2067,,Micmac
2068,,Mission Indians
2069,,Miwok
2070,,Modoc
2071,,Mohegan
2072,,Molala
2073,,Mono
2074,,Narragansett
2075,,Navajo
2076,,Nez Perce
2077,,Nomalaki
2078,,Northwest tribes
2079,,Omaha
2080,,Oregon Athabaskan
2081,,Osage
2082,,Otoe-Missouria
2083,,Ottawa
2084,,Paiute
2085,,Passamaquoddy
2086,,Pawnee
2087,,Penobscot
2088,,Peoria
2089,,Pequot
2090,,Pima
2091,,Pit River
2092,,Pomo
2093,,Ponca
2094,,Potawatomie
2095,,Powhatan
2096,,Pueblo
2097,,Puget Sound Salish
2098,,Quapaw
2099,,Quinault
2100,,Sac and Fox
2101,,Salish
2102,,Seminole
2103,,Serrano
2104,,Shasta
2105,,Shawnee
2106,,Shinnecock
2107,,Shoshone
2108,,Shoshone Paiute/Paiute Shoshone
2109,,Siletz
2110,,Sioux
2111,,Spokane
2112,,Stockbridge
2113,,Tohono O'Odham
2114,,Tolowa
2115,,Tonkawa
2116,,Umatilla
2117,,Umpqua
2118,,Ute
2119,,Wailaki
2120,,Walla-Walla
2121,,Warm Springs
2122,,Washo
2123,,Wichita
2124,,Winnebago
2125,,Wintu/Wintun
2126,,Yakima
2127,,Yaqui
2128,,Yokuts
2129,,Yuchi
2130,,Yuman
2131,,Yurok
2132,,"American Indian, tribe not elsewhere classified"
2133,,"American Indian, tribe not specified"
2134,,All other specified American Indian tribe combinations
3001,,"American Indian and Alaska Native, tribe not elsewhere classified"
3002,,"American Indian and Alaska Native, not specified"
,,
TRIBED,,Tribe [detailed version]
0,,Not applicable or blank
,,Alaska Native
100100,,Alaska Indian
100101,,Alaska Indian
100200,,Alaska Native
100300,,Alaskan Athabaskan
100301,,Alaskan Athabaskan - Tanaina
100400,,Aleut
100500,,Eskimo
100510,,Inupiat
100520,,Yup'ik
,,Tlingit-Haida
100601,,Haida
100602,,Tlingit
100603,,Tlingit-Haida
100700,,Tsimshian
100800,,"Alaska Native, other or unknown"
100801,,"Alaska Native, tribe not reported"
,,American Indian
200100,,Abenaki
200200,,Algonquian
200300,,Apache
200301,,Apache - Jicarilla
200302,,Apache - Lipan
200303,,Apache - Mescalero
200304,,Apache - Payson
200305,,Apache - White Mountain
200400,,Arapaho
200500,,Arikara
200600,,Assiniboine
200700,,Bannock
200800,,Blackfoot
200900,,Brotherton
201000,,Caddo
201100,,Cahuilla
201101,,Cahuilla - Soboba
,,California tribes
201201,,California tribe - Digger
201202,,California tribe - Kern River
201203,,California tribe - Mattole
201204,,California tribe - Morongo
201205,,California tribe - Red Wood
201206,,California tribe - Yuki
201300,,Canadian Indian
201301,,Canadian Indian - Canadian Athabaskan
201302,,"Canadian Indian - Tribe not specified, Canadian Indian"
201303,,French American Indian
201304,,Chippewa - French American Indian
201305,,"Tribe not specified, French American Indian"
201400,,Catawba
201500,,Cayuse
201600,,Chehalis
,,Chemakuan
201701,,Chemakuan - Hoh
201702,,Chemakuan - Quileute
201800,,Chemehuevi
201900,,Cherokee
202000,,Cheyenne
202100,,Chickasaw
202200,,Chinook
202201,,Chinook - Clatsop
202202,,Chinook - Upper Chinook
202203,,Chinook - Wishram
202300,,Chippewa
202400,,Chitimacha
202500,,Choctaw
202501,,Mississippi Choctaw
202600,,Chumash
202700,,Coeur D'Alene
202800,,Colville
202900,,Comanche
203000,,Coos
203100,,Coquilles
203200,,Coushatta
203201,,Alabama Coushatta
203300,,Cowlitz
203400,,Cree
203500,,Creek
203501,,Creek - Hitchiti
203600,,Croatan
203700,,Crow
203800,,Delaware
203801,,Deleware - Munsee
203900,,Diegueno
203901,,Diegueno - Sycuan
,,Eastern tribes
204001,,Eastern tribe - Georgetown
204002,,Eastern tribe - Nansemond
204003,,Eastern tribe - Tunica
204100,,Grand Ronde
204200,,Gros Ventres
204300,,Hawaiian
204400,,Hoopa
204401,,Hoopa - Trinity
204500,,Houma
204600,,Iowa
204700,,Iroquois
204701,,Iroquois - Cayuga
204702,,Iroquois - Mohawk
204703,,Iroquois - Oneida
204704,,Iroquois - Onondaga
204705,,Iroquois - Seneca
204706,,Iroquois - Tuscarora
204707,,Iroquois - Wyandotte
204708,,Iroquois - Amerind White
204800,,Kalispel
204900,,Karok/Karuk
205000,,Kaw
205100,,Kickapoo
205200,,Kiowa
,,Klallam/S'Kallam
205301,,Klallam
205302,,Port Gamble Klallam
205400,,Klamath
205500,,Konkow
205600,,Kootenai
,,Latin American
205701,,Central American Indian
205702,,Tohono O'Odham - Central American Indian
205703,,Mexican American Indian
205704,,"Tribe not specified, Mexican American Indian"
205705,,South American Indian
205706,,Spanish American Indian
205800,,Long Island - Matinecock
205900,,Luiseno
205901,,Luiseno - La Jolla
206000,,Lumbee
206100,,Lummi
206200,,Makah
206300,,Mailseet/Maliseet
206400,,Mandan
206500,,Menominee
206600,,Miami
206700,,Micmac
206800,,Mission Indians
206900,,Miwok
207000,,Modoc
207100,,Mohegan
207200,,Molala
207300,,Mono
207400,,Narragansett
207500,,Navajo
207600,,Nez Perce
207700,,Nomalaki
,,Northwest tribes
207801,,Northweste tribe - Alsea
207802,,Northweste tribe - Columbia
207803,,Northweste tribe - Kalapuya
207804,,Northweste tribe - Tenino
207805,,Northweste tribe - Tillamook
207806,,Northweste tribe - Wenatchee
207900,,Omaha
208000,,Oregon Athabaskan
208100,,Osage
208200,,Otoe-Missouria
208300,,Ottawa
208400,,Paiute
208401,,Paiute - Kaibab
208500,,Passamaquoddy
208600,,Pawnee
208700,,Penobscot
208800,,Peoria
208900,,Pequot
209000,,Pima
209100,,Pit River
209200,,Pomo
209201,,Pomo - Scotts Valley
209300,,Ponca
209400,,Potawatomie
209500,,Powhatan
209600,,Pueblo
209601,,Pueblo - Acoma
209602,,Pueblo - Arizona Tewa
209603,,Pueblo - Cochiti
209604,,Pueblo - Hopi
209605,,Pueblo - Jemez
209606,,Pueblo - Keres
209607,,Pueblo - Laguna
209608,,Pueblo - Taos
209609,,Pueblo - Tewa
209610,,Pueblo - Tigua
209611,,Pueblo - Zuni
209700,,Puget Sound Salish
209701,,Puget Sound Salish - Duwamish
209702,,Puget Sound Salish - Kikiallus
209703,,Puget Sound Salish - Muckleshoot
209704,,Puget Sound Salish - Nisqually
209705,,Puget Sound Salish - Nooksack
209706,,Puget Sound Salish - Port Madison
209707,,Puget Sound Salish - Puyallup
209708,,Puget Sound Salish - Samish
209709,,Puget Sound Salish - Sauk-Suiattle
209710,,Puget Sound Salish - Skokomish
209711,,Puget Sound Salish - Skykomish
209712,,Puget Sound Salish - Snohomish
209713,,Puget Sound Salish - Snoqualmie
209714,,Puget Sound Salish - Steilacoom
209715,,Puget Sound Salish - Suquamish
209716,,Puget Sound Salish - Swinomish
209717,,Puget Sound Salish - Tulalip
209718,,Puget Sound Salish - Upper Skagit
209800,,Quapaw
209900,,Quinault
210000,,Sac and Fox
210100,,Salish
210200,,Seminole
210300,,Serrano
210400,,Shasta
210500,,Shawnee
210600,,Shinnecock
210700,,Shoshone
210701,,Shoshone - Goshute
210702,,Shoshone - South Fork
210800,,Shoshone Paiute/Paiute Shoshone
210900,,Siletz
211000,,Sioux
211001,,Sioux - Brule
211002,,Sioux - Lower Brule
211003,,Sioux - Mdewakanton
211004,,Sioux - Miniconjou
211005,,Sioux - Oglala
211006,,Sioux - Rosebud
211007,,Sioux - Sans Arc
211008,,Sioux - Santee
211009,,Sioux - Sisseton
211010,,Sioux - Sisseton-Wahpeton
211011,,Sioux - Teton
211012,,Sioux - Two Kettle
211013,,Sioux - Wahpekute
211014,,Sioux - Wahpeton
211015,,Sioux - Wazhaza
211016,,Sioux - Yankton
211017,,Sioux - Yanktonai
211018,,Sioux - Amerind White
211100,,Spokane
211200,,Stockbridge
211300,,Tohono O'Odham
211400,,Tolowa
211500,,Tonkawa
211600,,Umatilla
211700,,Umpqua
211800,,Ute
211801,,Uintah Ute
211900,,Wailaki
212000,,Walla-Walla
212100,,Warm Springs
212200,,Washo
212300,,Wichita
212400,,Winnebago
212500,,Wintu/Wintun
212600,,Yakima
212700,,Yaqui
,,Yokuts
212801,,Chukchansi
212802,,Tule River
212900,,Yuchi
,,Yuman
213000,,Yuman
213001,,Yuman - Cocopah
213002,,Yuman - Havasupai
213003,,Yuman - Hualapai
213004,,Yuman - Maricopa
213005,,Yuman - Mohave
213006,,Yuman - Quechan
213100,,Yurok
213200,,"American Indian, tribe not elsewhere classified"
213300,,"American Indian, tribe not specified"
213301,,Amerind White
213302,,Amerind Black
213400,,All other specified American Indian tribe combinations
,,American Indian and Alaska Native
300100,,"American Indian and Alaska Native, tribe not elsewhere classified"
300200,,"American Indian and Alaska Native, not specified"
,,
RACAMIND,,Race: American Indian or Alaska Native
1,,No
2,,Yes
,,
RACASIAN,,Race: Asian
1,,No
2,,Yes
,,
RACBLK,,Race: black or African American
1,,No
2,,Yes
,,
RACPACIS,,Race: Pacific Islander
1,,No
2,,Yes
,,
RACWHT,,Race: white
1,,No
2,,Yes
,,
RACOTHER,,Race: some other race
1,,No
2,,Yes
,,
RACNUM,,Number of major race groups
1,,1 race group
2,,2 race groups
3,,3 race groups
4,,4 race groups
5,,5 race groups
6,,6 race groups
,,
SCHOOL,,School attendance
0,,N/A
1,,"No, not in school"
2,,"Yes, in school"
9,,Missing
,,
EDUC,,Educational attainment [general version]
0,,N/A or no schooling
1,,Nursery school to grade 4
2,,"Grade 5, 6, 7, or 8"
3,,Grade 9
4,,Grade 10
5,,Grade 11
6,,Grade 12
7,,1 year of college
8,,2 years of college
9,,3 years of college
10,,4 years of college
11,,5+ years of college
,,
EDUCD,,Educational attainment [detailed version]
0,,N/A or no schooling
1,,N/A
2,,No schooling completed
10,,Nursery school to grade 4
11,,"Nursery school, preschool"
12,,Kindergarten
13,,"Grade 1, 2, 3, or 4"
14,,Grade 1
15,,Grade 2
16,,Grade 3
17,,Grade 4
20,,"Grade 5, 6, 7, or 8"
21,,Grade 5 or 6
22,,Grade 5
23,,Grade 6
24,,Grade 7 or 8
25,,Grade 7
26,,Grade 8
30,,Grade 9
40,,Grade 10
50,,Grade 11
60,,Grade 12
61,,"12th grade, no diploma"
62,,High school graduate or GED
63,,Regular high school diploma
64,,GED or alternative credential
65,,"Some college, but less than 1 year"
70,,1 year of college
